# Logfile created on 2013-07-25 08:59:03 +1200 by logger.rb/31641
I, [2013-07-25T08:59:03.814518 #4496]  INFO -- : Name;data/BarackObama
I, [2013-07-25T08:59:03.814518 #4496]  INFO -- : H-INDEX;639
I, [2013-07-25T08:59:03.814518 #4496]  INFO -- : Number of followers;34,507,953
I, [2013-07-25T08:59:14.703337 #3272]  INFO -- : Name;data/britneyspears
I, [2013-07-25T08:59:14.703337 #3272]  INFO -- : H-INDEX;85
I, [2013-07-25T08:59:14.703337 #3272]  INFO -- : Number of followers;29,685,854
I, [2013-07-25T08:59:32.986569 #5204]  INFO -- : Name;data/Cmdr_Hadfield
I, [2013-07-25T08:59:32.986569 #5204]  INFO -- : H-INDEX;467
I, [2013-07-25T08:59:32.986569 #5204]  INFO -- : Number of followers;995,170
I, [2013-07-25T08:59:45.310591 #5572]  INFO -- : Name;data/EJosephSnowden
I, [2013-07-25T08:59:45.310591 #5572]  INFO -- : H-INDEX;48
I, [2013-07-25T08:59:45.310591 #5572]  INFO -- : Number of followers;9,640
I, [2013-07-25T08:59:54.639407 #3740]  INFO -- : Name;data/instagram
I, [2013-07-25T08:59:54.639407 #3740]  INFO -- : H-INDEX;318
I, [2013-07-25T08:59:54.639407 #3740]  INFO -- : Number of followers;23,439,941
I, [2013-07-25T09:00:07.306629 #5400]  INFO -- : Name;data/jtimberlake
I, [2013-07-25T09:00:07.306629 #5400]  INFO -- : H-INDEX;30
I, [2013-07-25T09:00:07.306629 #5400]  INFO -- : Number of followers;23,242,350
I, [2013-07-25T09:00:21.518254 #4508]  INFO -- : Name;data/JulianAssange_
I, [2013-07-25T09:00:21.518254 #4508]  INFO -- : H-INDEX;51
I, [2013-07-25T09:00:21.518254 #4508]  INFO -- : Number of followers;145,232
I, [2013-07-25T09:00:31.455472 #3736]  INFO -- : Name;data/katyperry
I, [2013-07-25T09:00:31.455472 #3736]  INFO -- : H-INDEX;8
I, [2013-07-25T09:00:31.455472 #3736]  INFO -- : Number of followers;39,824,189
I, [2013-07-25T09:00:40.238287 #3304]  INFO -- : Name;data/ladygaga
I, [2013-07-25T09:00:40.238287 #3304]  INFO -- : H-INDEX;10
I, [2013-07-25T09:00:40.238287 #3304]  INFO -- : Number of followers;39,290,584
I, [2013-07-25T09:00:47.617100 #4192]  INFO -- : Name;data/rihanna
