tweet_content,retweet_count,favourite_count,tweet_id,tweets_Id
"I sincerely apologize to the people of New Zealand for my stupidity.","104","34","358986367826534401",0
"Also: they track my cell calls &amp; email, photo my mail and X-ray me, but still have to check my photo ID.  C’mon!  You guys know me by now!","0","0","353312656200966145",0
"Seem like, at the airports, people of Middle-Eastern descent are expected terrorists.","0","0","353306668769087488",0
"Trip out on warp drive!","0","0","351853777642463232",0
"Seems like people of Middle-Eastern descent are treated as expected terrorists.","0","0","346433296789561345",0
"Mental health is proudly striding into the 18th in the US:","0","0","335531095619682305",0
"Black holes and gravity let us time travel:","0","0","334900780698046465",0
"Jihad does not equal Islam.  It's time to eradicate this perverse idea, embedded in the American consciousness:","0","0","332492990906003456",0
"In honor of the Bard's 449th birthday, a scene from a greeting card version of Romeo &amp; Juliet:","0","0","326571782805024768",0
"Savvy execs have a new home base in hell:","0","0","322536707033534466",0
"Check out one of Icy-Dicey’s greatest hits:  “Manthem”!","0","0","318900759209070593",0
"I read about a woman described as "a stroke waiting to happen." I think I'm happiness waiting to happen--except you can't just wait for it!","0","0","318537800360288258",0
"Thanks for the RT!","0","0","318536919522897920",0
"For a look at futuresport, here’s “Death on the Fiteball Field”:","0","0","315301419286667264",0
"A   you can read in exactly three minutes!:","0","0","313348314521292801",0
", , , , :","0","0","312906963354787840",0
"What if the benighted people of a dictatorial government don't WANT to be rescued?","0","0","309111876795637760",0
"The "Fiscal Cliff" should be displayed with "Y2K"  and "Continuing Resolutions' in the National Museum of Chicanery and Scams.","0","0","308394371986911232",0
"New Dead Sea scrolls prove Satan was victim not villain!  Ancient texts reveal startling new sins!","0","0","306789419803897857",0
"Thanks for the mention.  Didn't know I was getting a free zombie unicorn or a unicorn uprising, but I'm sure both are good.","0","0","306475587881537536",0
"Thanks for the mention.  Didn't know I was getting a free zombie unicorn or a unicorn uprising, but I'm sure both are good.","0","0","306475587881537536",0
"From my Spam I realized I could learn Mandarin in 10 days, be ripped, triple my credit score &amp; date a woman 1/4th my age without obligation.","0","0","303273094640959489",0
"It's a sign that I am a completely silly person!  Thanks for replying anyway!","0","0","303258289544773633",0
"I was drivin' down the street taday an' I seen a sign that said, "Your Ad Here." An' I go, "No I'm not. I'm ad HERE."","0","0","303212663205425153",0
"Do you ever feel that all these emails, tweets, iTunes, calls, blogs, Facebook posts, streaming and on and on are just so much noise?","0","0","302099748725354496",0
"Bus passengers think only of the destination, the future.  The driver is engaged in the trip, the present.  We should be more like drivers.","0","0","301791866406445056",0
"Thanks for the recommendation!","0","0","301397988964720640",0
"If Hollywood ever runs out of "buzz," not to worry!  I'm brewing it in my basement and preserving it in thousands of Mason jars.","0","0","300820064918175744",0
"If you expect nothing you receive nothing.  If you get nothing, you anticipate nothing.  What can be changed to disrupt the cycle?","0","0","300359466828828672",0
"Couch organism gets a workout while trying to blob out:  .","0","0","298850247243862017",0
"Thanks to entropy, there's a fifteen-second window between scalding and tepid when coffee is drinkable--to some it's always undrinkable.","0","0","297358568426991616",0
"The rapist's surprise:","0","0","296679819175927808",0
"Thanks for the RT!","0","0","296435904829083649",0
"No more following till I get more followers!  I can't lead you to the the Promised Land, but several Suggested Lands are now available!","0","0","296426454378496000",0
"Imagine what stress we could relieve with a - :  a  nonstop 24-hour   !","0","0","295688213337612288",0
"I believe that  always answers our . I just think that sometimes His  sucks!","0","0","295225774292742144",0
"Some utterly self-involved people have more important places to be than here.  Most (utterly self-involved) people have no place to be.","0","0","294873287111090177",0
"Here’s the favorite question on the Multipart International Scholastic Destiny &amp; Aptitude Test (MISDAT):","0","0","294654386649587712",0
"Have you added Robert Klein yet?  C'mon!  He's Jewish.  He's a Comedian.  He's great!","0","0","294323198357565440",0
"Let’s all lower our taxes by promising to create US jobs! You don’t have to mean it &amp; NEVER have to do it. Thanks, Big Tech &amp; Big Pharma!","0","0","294284574932996096",0
"In honor of , I'm going to - everything I say for the next week.","0","0","293897164814422016",0
"Mud wrestling with a zombie:","0","0","293620507914403840",0
"And thanks for retweeting me!","0","0","292660884210335744",0
"If God had intended us to take  , we'd be salivating  and weeping  tears. Uh...wouldn't we?","0","0","292415432374243328",0
"Views of death and reincarnation of a 21st century Injun in outer space:","0","0","291631110239166465",0
"@SpaceOrville Thanks for the retweets!","0","0","291346422798893057",0
"Thanks for the RTs!","0","0","291345894895411201",0
"You're very welcome!  Glad you enjoyed it!","0","0","291339546661097472",0
"Thanks for "favoriting" my humble Tweets!","0","0","291339132884635650",0
"For a profile, I photoshopped myself w/ dolphins, mountaineering, yachting, blowing guitar--but there was always something wrong:  me!","2","0","290564606798204928",0
"Thanks for retweeting!","0","0","290553421507993600",0
"And people need to overcome their prejudices and focus on what is most important.","0","0","290520311571550208",0
"True. Many times, people avoid difficult social issues by focusing on their prejudices. We need to go beyond ourselves!","0","0","290519919718707200",0
"","0","0","290518291133390848",0
"Thanks for the retweet!","0","0","290500810117378050",0
"Thanks for the RT!","0","0","290497727769485312",0
"I’ve got it!  The problem isn’t that we have too many guns!  It’s that we don’t have enough provocation to use them!","0","0","290187449257308163",0
"Instead of worrying about defining marriage, let’s focus on child pornography, pedophilia, rape, sexual slavery--traditional social toxins.","2","0","289921644179386368",0
"I don’t want to talk about time-travel.  If we start then we’ll be here all day, making diagrams with straws.","0","0","289400037635678208",0
"In order to curry favor with the Masters, I tattooed my face and body with the names of the best-selling prescription drugs and cola brands.","0","0","289030211868176384",0
"For my Twitter icon, I tried to post a photo of myself, topless, but learned that people without heads are not very welcome!","0","0","288360889437016067",0
"No, I'm moving to France!","0","0","288074404657770496",0
"Strong, contemporary African-American woman transported to antebellum slavery in order to crush her spirit:  \n.","2","0","288069776440442880",0
"Help!  I'm captured by the EYE!","0","0","287621041445040128",0
"Time cover of 12/24/12, showing baby surrounded by diseases, depicts exactly the negative mind-set that fosters and perpetuates disease.","0","0","287616262945771521",0
