tweet_content,retweet_count,favourite_count,tweet_id,tweets_Id
"So what's it like to share your name with the most wanted man in the world, ?","4","3","352116306230784001",0
"You MIGHT think that Snowden is in Ecuador.... this is false.\nTOMORROW NIGHT:  w/  at GS!","2","3","349667478982508545",0
"I know you're on teh tour and all, but we miss your tweeterings","3","2","348669571969974272",0
"Tonight's venue in Minneapolis is so much cooler than the usual club setting. Wish all shows were like this","2","5","348608564039925761",0
"Tonight's venue in Minneapolis is so much cooler than the usual club setting. Wish all shows were like this","0","0","348608564039925761",0
"TONIGHT W/ OPEN BAR - RSVP to the live recording of  performance at","0","0","348489132231770112",0
"1:45am DUI checkpoint in Missouri. Mikey totes dry FTW!","0","0","348339595441733633",0
"Making the incredibly long drive to Lawrence for our show tonight at .","0","0","348157112502861824",0
"Snowden - So Red (Official Video):  via","0","0","347831426110078976",0
"♫ Just Announced: Denver, CO - Jun 20 at Larimer Lounge","0","0","347774111092723712",0
"Hey Denver... we're about to pull into town for tonight at !  RT for a chance to win tix.","0","0","347773636414943233",0
"Sorry for the mistweet... Tour gets a bit exhausting.  Denver tomorrow  Friday in Lawrence!","0","0","347590414624256000",0
"Get down to Bar Delux tonight at 8 for Snowden! With special guests Old Podrida!","0","0","347447902479720450",0
"Philly area... we're playing a special show at The Barbary for the last date of the tour.  Get tickets here:","0","0","347063287118180352",0
"Chicago is a weekend festival... we're playing Sunday.","0","0","347062993336532993",0
"RSVP to the live recording of  performance at  on June 22 here:  Limited spots available.","0","0","346694085970644992",0
"Snowden + Old Podrida perform on Wednesday at Bar Delux! Check them out:","0","0","346721796000739328",0
"","0","0","346721670934962176",0
"Most beautiful rest stop in the world. 4H is selling brownies and sodas. Oh Washington.","0","0","346375883608707072",0
"Friday night  , Soft Shadows, SuckerForLights, The We Shared Milk &amp; lots of :","0","0","346333330914045952",0
"RT : ::TOMORROW:: Snowden+The Courtneys+Library play Rickshaw!","0","0","346087612416663553",0
"Revelation: Quincy jones is the culmination of Steely Dan and Motown","0","0","346196071598411776",0
"Welcoming back the captivating sounds of  to our stage tonight. 7pm doors! &gt;&gt;","0","0","345966193632501760",0
"“: "Watch out for anybody who has an Ovation guitar. That's your clue right there that something bad is about to happen"-KimDeal”","0","0","345990410667175936",0
"we're going to have a very thorough van search when we try to get back into the US.","0","0","345963285209808896",0
"the 'w' is really superfluous anyway.","0","0","345760680735043584",0
"On behalf of Portland, I apologize to  for Hawthorne Theater having you on the marquee as 'Snoden'.","0","0","345757757753925632",0
"PDX... who's ready to pre-game (and post for that matter) tonight for our show at the Hawthorne Theater with ??","0","0","345670291395076099",0
"We're still waiting for you to show up.  Don't let these hoods and zipties go to waste.","0","0","345389475293175809",0
"Is it possible to leave you heart here over and over?","0","0","345366811417665537",0
"// JUNE 16TH \\ Live At Rickshaw +  present  w/  &amp; Library! 19+ // 8:00 PM // $10","0","0","345301560609345536",0
"Grab your tickets for Snowden at Bar Delux on the 19th!","0","0","345316159048011777",0
"SF tonight at  with  and San Jose's ...","0","0","345269671257325568",0
"'s bass from the golden years. Lotta decadence on this piece. Gonna go sterilize now.","0","0","344995437264121856",0
"In and out Burger goes in Yoi's face hole","0","0","344907584517586945",0
"Also if you're coming out to the shows and have a HD camera... please shoot video in 1080 / 24p and send it to us for a compilation!","0","0","344871947450081280",0
"We're playing  w/   and more!  Presented by .  Say hi after the show!","0","0","344871511032725504",0
"tweeted our video last summer. I'll put "LeeLoo+1" on the list tonight","0","0","344869978706673664",0
"Upgrade at the car rental! Can I fit a bass drum in here?","0","0","344646362983456768",0
"I don't think I'll ever get over the liquor in California grocery stores thing","0","0","344628313270153216",0
"// JUNE 16 \\  w/ Library and , who have a brand new video out! Check out Nu Sundae here!","0","0","344541072573227008",0
"Yo! See you in Portland on Friday. This is what we're like","0","0","344562332548096000",0
"arriving around 6pm today if you wanna hang. Surf tomorrow? I gotta find a board","0","0","344548164356960256",0
"Will someone please take me surfing tomorrow near LA?","0","0","344516224375476225",0
"When my album goes platinum I'm going to have a Torchy's taco trailer towed behind the tour bus.","0","0","344175984595062784",0
"CIA/NSA:  Snowden wil be at  on Wednesday.  If you're bringing Secret Service, we'll put up an overflow tent.","0","0","344145559508119553",0
"blows whistle on gov't spying right after the band  releases album called "No One in Control."","0","0","343927643487498240",0
"It's something incredibly important that people should be talking about.  No complaints from our side over sharing a name.","0","0","343917268247400448",0
"Why would you feel bad for us?","0","0","343915156297891840",0
"Heading to Dallas for our show at Threw Links for","0","0","343481704138301440",0
"♫ Today: Dallas, TX - Jun 8 at Three Links","0","0","343458086075371520",0
"thanks so much for coming","0","0","343301356699910145",0
"@girlsdistracted thank you so much for coming out.","0","0","343272449716150272",0
"I'm at Red 7 for Snowden (Austin, TX) w/ 6 others","0","0","343233324564766720",0
"","0","0","343240091751305217",0
"♫ Today: Austin, TX - Jun 7 at Red 7","0","0","343096069158236161",0
"@girlsdistracted doors at at 9:30... We are on at 11:30","0","0","342817631142821888",0
"We're in LA at Bootleg on the 12th if you're there.","0","0","342762610804011008",0
"This just in!! We're DJing the  show tomorrow night ! Pretty Stoked. WIN TIX HERE:","0","0","342760049942339585",0
"We're at Brick &amp; Mortar on the 13th!","0","0","342761079560101889",0
"♫ Today: New Orleans, LA - Jun 6 at Gasa Gasa","0","0","342732945804623873",0
"New Orleans... we're going to be at Gasa Gasa tonight.  Where should we pre-game?","0","0","342703569264336899",0
"♫ Today: Atlanta, GA - Jun 5 at The EARL","0","0","342355149345415168",0
